,From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
441,Georgia,Germany,19,14,10,8,12,10,13,1.0,
442,Georgia,France,17,15,8,1,7,7,18,4.0,
443,Georgia,Poland,25,9,11,17,24,20,7,,4.0
444,Georgia,Australia,4,2,2,12,3,3,10,8.0,1.0
445,Georgia,Cyprus,10,17,17,16,17,17,12,,
446,Georgia,Serbia,11,16,16,10,10,11,23,,
447,Georgia,Lithuania,6,8,6,13,6,6,6,5.0,5.0
448,Georgia,Croatia,12,7,21,2,19,9,24,2.0,
449,Georgia,Russia,21,18,19,24,23,23,3,,8.0
450,Georgia,Spain,23,12,22,25,11,22,16,,
451,Georgia,Latvia,5,5,7,5,5,4,5,7.0,6.0
452,Georgia,Ukraine,2,1,1,7,1,1,2,12.0,10.0
453,Georgia,Malta,20,4,18,23,16,18,25,,
454,Georgia,Austria,22,25,25,21,18,25,17,,
455,Georgia,United Kingdom,14,24,9,3,21,13,22,,
456,Georgia,Armenia,13,6,15,18,22,16,1,,12.0
457,Germany,Belgium,2,10,7,7,6,6,17,5.0,
458,Germany,Czech Republic,22,21,21,22,22,22,24,,
459,Germany,The Netherlands,11,6,13,4,4,7,8,4.0,3.0
460,Germany,Azerbaijan,25,22,22,21,25,24,23,,
461,Germany,Hungary,12,13,18,20,17,17,19,,
462,Germany,Italy,13,7,11,8,11,8,10,3.0,1.0
463,Germany,Israel,3,1,1,1,1,1,18,12.0,
464,Germany,Bulgaria,14,11,17,13,19,14,7,,4.0
465,Germany,Sweden,1,4,2,3,2,2,3,10.0,8.0
466,Germany,France,8,19,24,18,18,20,13,,
467,Germany,Poland,18,14,16,19,20,19,2,,10.0
468,Germany,Australia,6,3,5,6,8,5,6,6.0,5.0
469,Germany,Cyprus,20,25,25,24,24,25,11,,
470,Germany,Serbia,16,18,23,25,23,21,21,,
471,Germany,Lithuania,15,9,6,15,12,10,15,1.0,
472,Germany,Croatia,5,12,15,11,16,12,22,,
473,Germany,Russia,23,17,10,16,15,18,1,,12.0
474,Germany,Spain,10,16,9,10,14,11,12,,
475,Germany,Latvia,21,8,8,9,7,9,16,2.0,
476,Germany,Ukraine,4,5,4,5,5,4,5,7.0,6.0
477,Germany,Malta,24,24,20,23,21,23,25,,
478,Germany,Georgia,7,2,3,2,3,3,14,8.0,
479,Germany,Austria,19,20,14,14,10,16,4,,7.0
480,Germany,United Kingdom,17,15,12,17,13,15,20,,
481,Germany,Armenia,9,23,19,12,9,13,9,,2.0
482,Greece,Belgium,19,26,23,26,10,24,13,,
483,Greece,Czech Republic,20,6,24,23,19,18,26,,
484,Greece,The Netherlands,2,20,12,12,18,13,18,,
485,Greece,Azerbaijan,10,7,7,21,9,10,19,1.0,
486,Greece,Hungary,11,4,14,13,8,8,9,3.0,2.0
487,Greece,Italy,12,14,22,24,3,15,11,,
488,Greece,Israel,15,23,21,20,17,22,23,,
489,Greece,Bulgaria,13,8,9,14,13,11,4,,7.0
490,Greece,Sweden,18,19,15,11,26,16,15,,
491,Greece,Germany,22,22,25,25,24,26,24,,
492,Greece,France,8,11,10,2,7,5,7,6.0,4.0
493,Greece,Poland,25,24,26,15,15,25,8,,3.0
494,Greece,Australia,6,5,3,3,14,4,6,7.0,5.0
495,Greece,Cyprus,4,2,5,5,1,3,1,8.0,12.0
496,Greece,Serbia,14,21,17,22,20,19,17,,
497,Greece,Lithuania,23,16,16,16,23,20,20,,
498,Greece,Croatia,24,15,18,18,25,23,25,,
499,Greece,Russia,1,1,1,1,4,1,2,12.0,10.0
500,Greece,Spain,16,17,20,17,21,17,14,,
501,Greece,Latvia,17,18,19,19,22,21,16,,
502,Greece,Ukraine,3,13,13,6,16,9,5,2.0,6.0
503,Greece,Malta,9,9,8,10,6,7,22,4.0,
504,Greece,Georgia,7,10,4,7,12,6,12,5.0,
505,Greece,Austria,26,12,11,8,5,12,10,,1.0
506,Greece,United Kingdom,21,25,6,9,11,14,21,,
507,Greece,Armenia,5,3,2,4,2,2,3,10.0,8.0
508,Hungary,Belgium,20,12,5,24,4,14,14,,
509,Hungary,Czech Republic,7,17,6,21,1,9,18,2.0,
510,Hungary,The Netherlands,6,5,7,16,8,5,9,6.0,2.0
511,Hungary,Azerbaijan,5,13,1,18,5,4,16,7.0,
512,Hungary,Italy,15,20,17,23,15,21,19,,
513,Hungary,Israel,25,18,3,11,9,16,17,,
514,Hungary,Bulgaria,23,14,16,20,20,22,7,,4.0
515,Hungary,Sweden,8,21,4,12,3,7,4,4.0,7.0
516,Hungary,Germany,10,24,9,19,10,17,13,,
517,Hungary,France,14,19,10,22,19,20,10,,1.0
518,Hungary,Poland,24,23,24,25,18,25,3,,8.0
519,Hungary,Australia,4,8,2,1,2,1,8,12.0,3.0
520,Hungary,Cyprus,13,11,11,13,17,15,6,,5.0
521,Hungary,Serbia,19,22,23,17,25,24,24,,
522,Hungary,Lithuania,1,16,8,10,16,8,23,3.0,
523,Hungary,Croatia,17,7,12,14,24,18,21,,
524,Hungary,Russia,12,10,21,8,14,13,2,,10.0
525,Hungary,Spain,9,1,14,9,13,6,15,5.0,
526,Hungary,Latvia,2,9,13,7,6,3,11,8.0,
527,Hungary,Ukraine,18,4,15,6,21,12,1,,12.0
528,Hungary,Malta,3,2,20,3,7,2,20,10.0,
529,Hungary,Georgia,16,15,18,4,11,11,22,,
530,Hungary,Austria,22,25,25,2,23,23,5,,6.0
531,Hungary,United Kingdom,21,6,19,15,22,19,25,,
532,Hungary,Armenia,11,3,22,5,12,10,12,1.0,
533,Iceland,Belgium,12,11,4,12,12,8,8,3.0,3.0
534,Iceland,Czech Republic,9,5,9,9,13,6,24,5.0,
535,Iceland,The Netherlands,3,2,2,3,1,1,5,12.0,6.0
536,Iceland,Azerbaijan,16,12,17,11,16,13,10,,1.0
537,Iceland,Hungary,18,26,10,23,8,18,14,,
538,Iceland,Italy,25,10,18,25,7,19,13,,
539,Iceland,Israel,15,24,6,24,11,16,21,,
540,Iceland,Bulgaria,22,18,14,7,23,17,12,,
541,Iceland,Sweden,1,4,19,4,17,5,1,6.0,12.0
542,Iceland,Germany,24,6,21,19,18,22,23,,
543,Iceland,France,7,14,22,6,5,9,6,2.0,5.0
544,Iceland,Poland,4,23,20,16,6,12,2,,10.0
545,Iceland,Australia,2,1,5,2,2,2,3,10.0,8.0
546,Iceland,Cyprus,19,22,16,22,9,21,16,,
547,Iceland,Serbia,23,17,23,10,26,25,25,,
548,Iceland,Lithuania,10,16,15,21,15,14,7,,4.0
549,Iceland,Croatia,6,8,24,1,4,4,26,7.0,
550,Iceland,Russia,5,3,3,8,19,3,4,8.0,7.0
551,Iceland,Spain,14,21,1,26,24,20,15,,
552,Iceland,Latvia,20,25,26,18,20,26,17,,
553,Iceland,Ukraine,11,20,7,20,21,15,11,,
554,Iceland,Malta,8,7,12,15,3,7,19,4.0,
555,Iceland,Georgia,26,19,25,13,10,24,22,,
556,Iceland,Austria,17,9,8,5,22,10,9,1.0,2.0
557,Iceland,United Kingdom,13,15,11,14,14,11,20,,
558,Iceland,Armenia,21,13,13,17,25,23,18,,
559,Ireland,Belgium,1,1,3,2,5,1,13,12.0,
560,Ireland,Czech Republic,12,15,14,9,11,9,23,2.0,
561,Ireland,The Netherlands,3,3,1,4,16,3,14,8.0,
562,Ireland,Azerbaijan,16,16,13,22,21,19,25,,
563,Ireland,Hungary,18,17,25,19,23,26,15,,
564,Ireland,Italy,5,2,20,5,7,5,16,6.0,
565,Ireland,Israel,2,11,9,13,13,7,18,4.0,
566,Ireland,Bulgaria,10,4,4,3,4,2,6,10.0,5.0
567,Ireland,Sweden,22,5,12,7,2,6,9,5.0,2.0
568,Ireland,Germany,26,14,15,24,10,21,20,,
569,Ireland,France,4,13,7,17,17,8,12,3.0,
570,Ireland,Poland,24,12,26,16,20,24,2,,10.0
571,Ireland,Australia,23,22,2,8,8,12,5,,6.0
572,Ireland,Cyprus,19,8,18,11,25,17,17,,
573,Ireland,Serbia,9,9,19,20,18,16,26,,
574,Ireland,Lithuania,11,26,16,6,14,14,1,,12.0
575,Ireland,Croatia,17,19,10,21,22,20,24,,
576,Ireland,Russia,8,21,17,12,26,18,3,,8.0
577,Ireland,Spain,13,10,23,18,3,13,11,,
578,Ireland,Latvia,15,25,8,14,1,10,4,1.0,7.0
579,Ireland,Ukraine,25,24,5,15,6,15,7,,4.0
580,Ireland,Malta,7,23,22,23,19,22,19,,
581,Ireland,Georgia,20,18,6,10,9,11,22,,
582,Ireland,Austria,21,6,24,26,24,25,10,,1.0
583,Ireland,United Kingdom,6,7,11,1,12,4,8,7.0,3.0
584,Ireland,Armenia,14,20,21,25,15,23,21,,
585,Israel,Belgium,12,6,2,9,1,5,10,6.0,1.0
586,Israel,Czech Republic,19,14,13,10,18,15,24,,
587,Israel,The Netherlands,16,17,22,20,25,24,19,,
588,Israel,Azerbaijan,11,16,9,25,10,14,9,,2.0
589,Israel,Hungary,21,22,24,12,9,18,15,,
590,Israel,Italy,10,8,25,6,11,11,13,,
591,Israel,Bulgaria,7,5,7,5,6,4,4,7.0,7.0
592,Israel,Sweden,14,24,21,22,19,23,17,,
593,Israel,Germany,15,15,19,21,22,19,22,,
594,Israel,France,4,9,3,3,3,3,1,8.0,12.0
595,Israel,Poland,8,23,12,15,21,16,7,,4.0
596,Israel,Australia,3,4,1,1,8,2,6,10.0,5.0
597,Israel,Cyprus,25,19,23,23,17,25,12,,
598,Israel,Serbia,23,18,16,24,12,21,21,,
599,Israel,Lithuania,18,7,11,4,16,10,11,1.0,
600,Israel,Croatia,2,21,15,8,7,8,23,3.0,
601,Israel,Russia,5,20,17,7,20,13,2,,10.0
602,Israel,Spain,6,12,8,14,13,7,14,4.0,
603,Israel,Latvia,9,3,4,11,4,6,16,5.0,
604,Israel,Ukraine,1,1,5,2,2,1,3,12.0,8.0
605,Israel,Malta,20,13,14,13,24,17,25,,
606,Israel,Georgia,22,10,10,16,5,12,20,,
607,Israel,Austria,24,11,20,17,23,22,8,,3.0
608,Israel,United Kingdom,17,25,18,18,14,20,18,,
609,Israel,Armenia,13,2,6,19,15,9,5,2.0,6.0
610,Italy,Belgium,15,19,7,11,10,11,18,,
611,Italy,Czech Republic,23,18,25,22,13,24,24,,
612,Italy,The Netherlands,14,5,5,10,4,7,19,4.0,
613,Italy,Azerbaijan,22,21,15,21,22,25,23,,
614,Italy,Hungary,21,22,16,13,23,20,15,,
615,Italy,Israel,6,9,6,5,1,3,17,8.0,
616,Italy,Bulgaria,9,15,17,18,15,14,4,,7.0
617,Italy,Sweden,24,4,11,6,5,9,16,2.0,
618,Italy,Germany,10,11,12,19,24,15,21,,
619,Italy,France,1,1,18,2,6,4,6,7.0,5.0
620,Italy,Poland,20,14,24,25,11,19,2,,10.0
621,Italy,Australia,3,8,8,9,2,5,11,6.0,
622,Italy,Cyprus,16,23,3,8,8,10,5,1.0,6.0
623,Italy,Serbia,13,20,20,23,21,21,7,,4.0
624,Italy,Lithuania,17,24,14,16,7,16,9,,2.0
625,Italy,Croatia,8,13,21,12,25,17,22,,
626,Italy,Russia,25,3,23,17,12,18,3,,8.0
627,Italy,Spain,5,6,1,1,9,1,13,12.0,
628,Italy,Latvia,11,12,9,20,14,13,14,,
629,Italy,Ukraine,4,7,4,7,3,2,1,10.0,12.0
630,Italy,Malta,2,2,10,3,18,6,20,5.0,
631,Italy,Georgia,7,16,2,4,20,8,8,3.0,3.0
632,Italy,Austria,19,25,22,15,17,23,12,,
633,Italy,United Kingdom,12,10,13,14,16,12,25,,
634,Italy,Armenia,18,17,19,24,19,22,10,,1.0
635,Latvia,Belgium,25,5,19,17,10,14,15,,
636,Latvia,Czech Republic,12,15,21,15,17,18,24,,
637,Latvia,The Netherlands,5,12,16,10,6,8,16,3.0,
638,Latvia,Azerbaijan,10,20,24,19,21,22,8,,3.0
639,Latvia,Hungary,11,19,14,18,25,20,13,,
640,Latvia,Italy,17,16,17,23,12,19,19,,
641,Latvia,Israel,8,11,13,11,7,9,20,2.0,
642,Latvia,Bulgaria,22,9,12,6,3,10,10,1.0,1.0
643,Latvia,Sweden,3,4,2,3,8,3,4,8.0,7.0
644,Latvia,Germany,23,25,23,22,24,25,18,,
645,Latvia,France,18,14,18,20,19,21,11,,
646,Latvia,Poland,20,24,25,25,15,24,6,,5.0
647,Latvia,Australia,7,6,10,16,5,6,5,5.0,6.0
648,Latvia,Cyprus,13,18,20,12,13,15,12,,
649,Latvia,Serbia,9,23,11,8,23,13,25,,
650,Latvia,Lithuania,6,2,3,2,1,2,3,10.0,8.0
651,Latvia,Croatia,19,22,9,5,22,16,22,,
652,Latvia,Russia,4,8,5,14,2,4,1,7.0,12.0
653,Latvia,Spain,24,10,4,21,9,12,17,,
654,Latvia,Ukraine,2,1,1,1,4,1,2,12.0,10.0
655,Latvia,Malta,14,7,6,7,14,7,23,4.0,
656,Latvia,Georgia,21,3,7,4,20,11,9,,2.0
657,Latvia,Austria,16,21,22,24,16,23,7,,4.0
658,Latvia,United Kingdom,15,17,15,13,18,17,21,,
659,Latvia,Armenia,1,13,8,9,11,5,14,6.0,
660,Lithuania,Belgium,7,7,6,7,4,6,13,5.0,
661,Lithuania,Czech Republic,8,15,24,18,15,17,24,,
662,Lithuania,The Netherlands,22,16,10,17,13,15,17,,
663,Lithuania,Azerbaijan,11,24,23,19,9,20,18,,
664,Lithuania,Hungary,23,11,8,20,23,19,9,,2.0
665,Lithuania,Italy,13,8,15,21,6,11,15,,
666,Lithuania,Israel,5,6,5,6,7,5,19,6.0,
667,Lithuania,Bulgaria,9,12,22,8,8,9,11,2.0,
668,Lithuania,Sweden,20,9,11,22,16,14,4,,7.0
669,Lithuania,Germany,16,13,12,15,11,12,21,,
670,Lithuania,France,14,20,13,5,10,10,8,1.0,3.0
671,Lithuania,Poland,6,19,9,11,14,8,5,3.0,6.0
672,Lithuania,Australia,1,2,2,1,1,1,6,12.0,5.0
673,Lithuania,Cyprus,24,21,14,23,24,24,14,,
674,Lithuania,Serbia,17,14,21,16,12,18,25,,
675,Lithuania,Croatia,18,22,16,12,25,22,23,,
676,Lithuania,Russia,25,25,25,25,22,25,3,,8.0
677,Lithuania,Spain,15,18,17,9,21,16,16,,
678,Lithuania,Latvia,4,3,4,3,5,4,1,7.0,12.0
679,Lithuania,Ukraine,3,1,3,4,2,3,2,8.0,10.0
680,Lithuania,Malta,12,10,18,13,20,13,22,,
681,Lithuania,Georgia,2,4,1,2,3,2,7,10.0,4.0
682,Lithuania,Austria,19,23,19,24,19,23,10,,1.0
683,Lithuania,United Kingdom,21,17,20,14,18,21,20,,
684,Lithuania,Armenia,10,5,7,10,17,7,12,4.0,
685,Malta,Belgium,16,13,17,24,21,20,17,,
686,Malta,Czech Republic,18,16,20,10,17,16,24,,
687,Malta,The Netherlands,13,11,15,25,20,17,8,,3.0
688,Malta,Azerbaijan,20,9,21,19,8,11,5,,6.0
689,Malta,Hungary,19,15,12,16,19,14,6,,5.0
690,Malta,Italy,5,4,4,3,5,3,4,8.0,7.0
691,Malta,Israel,10,14,8,12,11,10,18,1.0,
692,Malta,Bulgaria,1,5,6,1,7,2,3,10.0,8.0
693,Malta,Sweden,11,12,22,22,18,18,11,,
694,Malta,Germany,24,17,16,17,25,22,22,,
695,Malta,France,4,7,1,8,4,5,9,6.0,2.0
696,Malta,Poland,25,21,24,18,24,25,13,,
697,Malta,Australia,6,10,9,7,6,8,1,3.0,12.0
698,Malta,Cyprus,12,3,7,2,2,6,12,5.0,
699,Malta,Serbia,15,19,23,15,16,19,21,,
700,Malta,Lithuania,14,22,14,20,9,13,16,,
701,Malta,Croatia,21,18,25,21,15,23,25,,
702,Malta,Russia,3,8,5,5,13,7,2,4.0,10.0
703,Malta,Spain,9,6,10,9,10,9,20,2.0,
704,Malta,Latvia,22,20,13,14,12,15,19,,
705,Malta,Ukraine,23,25,18,23,14,24,7,,4.0
706,Malta,Georgia,17,24,19,11,22,21,23,,
707,Malta,Austria,7,23,11,13,23,12,15,,
708,Malta,United Kingdom,2,1,2,4,1,1,10,12.0,1.0
709,Malta,Armenia,8,2,3,6,3,4,14,7.0,
710,Moldova,Belgium,22,8,16,16,19,16,15,,
711,Moldova,Czech Republic,13,26,6,6,12,12,26,,
712,Moldova,The Netherlands,18,11,19,22,20,19,25,,
713,Moldova,Azerbaijan,19,25,26,25,24,26,3,,8.0
714,Moldova,Hungary,14,17,24,21,16,21,11,,
715,Moldova,Italy,8,22,20,20,21,20,13,,
716,Moldova,Israel,9,18,18,19,15,15,21,,
717,Moldova,Bulgaria,24,21,23,14,22,23,9,,2.0
718,Moldova,Sweden,4,9,5,5,7,5,12,6.0,
719,Moldova,Germany,20,24,13,23,23,22,18,,
720,Moldova,France,23,7,14,24,17,17,5,,6.0
721,Moldova,Poland,21,20,22,26,18,24,14,,
722,Moldova,Australia,1,2,1,3,3,2,6,10.0,5.0
723,Moldova,Cyprus,16,12,11,7,5,9,16,2.0,
724,Moldova,Serbia,25,13,4,15,10,13,22,,
725,Moldova,Lithuania,6,6,12,8,11,7,8,4.0,3.0
726,Moldova,Croatia,15,15,15,2,8,10,24,1.0,
727,Moldova,Russia,3,3,10,9,4,4,1,7.0,12.0
728,Moldova,Spain,12,4,3,4,6,3,17,8.0,
729,Moldova,Latvia,17,16,21,10,14,14,10,,1.0
730,Moldova,Ukraine,2,1,2,1,1,1,2,12.0,10.0
731,Moldova,Malta,7,10,9,13,9,8,19,3.0,
732,Moldova,Georgia,26,23,25,12,26,25,23,,
733,Moldova,Austria,11,19,17,17,25,18,7,,4.0
734,Moldova,United Kingdom,10,14,7,18,13,11,20,,
735,Moldova,Armenia,5,5,8,11,2,6,4,5.0,7.0
736,Montenegro,Belgium,22,5,11,11,5,8,16,3.0,
737,Montenegro,Czech Republic,16,19,14,14,18,16,26,,
738,Montenegro,The Netherlands,18,8,26,21,20,22,23,,
739,Montenegro,Azerbaijan,6,22,13,15,24,15,4,,7.0
740,Montenegro,Hungary,4,7,3,3,14,4,8,7.0,3.0
741,Montenegro,Italy,12,18,25,20,15,20,7,,4.0
742,Montenegro,Israel,11,9,24,18,9,12,20,,
743,Montenegro,Bulgaria,5,11,12,19,11,9,6,2.0,5.0
744,Montenegro,Sweden,26,21,23,26,17,25,15,,
745,Montenegro,Germany,25,25,22,25,25,26,24,,
746,Montenegro,France,15,4,7,8,6,6,10,5.0,1.0
747,Montenegro,Poland,9,20,8,10,12,10,21,1.0,
748,Montenegro,Australia,10,10,6,9,7,7,13,4.0,
749,Montenegro,Cyprus,19,6,21,24,4,13,12,,
750,Montenegro,Serbia,7,12,5,5,8,5,1,6.0,12.0
751,Montenegro,Lithuania,21,17,20,12,16,18,9,,2.0
752,Montenegro,Croatia,13,23,10,6,22,14,5,,6.0
753,Montenegro,Russia,3,3,1,4,2,3,2,8.0,10.0
754,Montenegro,Spain,24,16,19,17,10,19,19,,
755,Montenegro,Latvia,17,24,18,13,23,23,14,,
756,Montenegro,Ukraine,8,15,17,7,19,11,3,,8.0
757,Montenegro,Malta,2,2,2,2,1,1,18,12.0,
758,Montenegro,Georgia,20,13,16,23,21,21,22,,
759,Montenegro,Austria,14,26,9,22,26,24,17,,
760,Montenegro,United Kingdom,23,14,15,16,13,17,25,,
761,Montenegro,Armenia,1,1,4,1,3,2,11,10.0,
762,Norway,Belgium,8,9,1,8,12,6,9,5.0,2.0
763,Norway,Czech Republic,12,11,13,14,5,11,26,,
764,Norway,The Netherlands,4,7,5,2,10,5,11,6.0,
765,Norway,Azerbaijan,14,8,16,18,20,17,22,,
766,Norway,Hungary,26,25,26,26,17,25,17,,
767,Norway,Italy,2,3,2,1,6,1,14,12.0,
768,Norway,Israel,15,5,6,11,15,8,18,3.0,
769,Norway,Bulgaria,1,2,7,15,1,3,6,8.0,5.0
770,Norway,Sweden,13,6,11,12,14,12,4,,7.0
771,Norway,Germany,23,20,23,23,22,23,19,,
772,Norway,France,11,12,21,6,19,14,10,,1.0
773,Norway,Poland,3,13,15,17,7,10,2,1.0,10.0
774,Norway,Australia,5,10,3,3,4,2,3,10.0,8.0
775,Norway,Cyprus,22,23,24,25,25,24,15,,
776,Norway,Serbia,24,19,20,24,18,22,23,,
777,Norway,Lithuania,6,17,4,4,24,9,1,2.0,12.0
778,Norway,Croatia,18,18,18,13,8,16,25,,
779,Norway,Russia,19,1,17,10,11,13,5,,6.0
780,Norway,Spain,7,4,9,5,3,4,13,7.0,
781,Norway,Latvia,17,15,19,19,16,19,8,,3.0
782,Norway,Ukraine,9,21,10,9,2,7,7,4.0,4.0
783,Norway,Malta,16,16,14,21,23,21,24,,
784,Norway,Georgia,20,24,12,22,9,20,20,,
785,Norway,Austria,21,14,22,7,21,18,12,,
786,Norway,United Kingdom,10,22,8,16,13,15,16,,
787,Norway,Armenia,25,26,25,20,26,26,21,,
788,Poland,Belgium,11,14,17,9,21,16,14,,
789,Poland,Czech Republic,5,11,21,10,7,7,19,4.0,
790,Poland,The Netherlands,10,22,15,7,22,17,17,,
791,Poland,Azerbaijan,14,20,24,14,20,22,20,,
792,Poland,Hungary,22,19,6,20,10,18,5,,6.0
793,Poland,Italy,17,9,13,17,12,15,16,,
794,Poland,Israel,3,10,8,2,18,4,18,7.0,
795,Poland,Bulgaria,9,18,16,8,6,8,8,3.0,3.0
796,Poland,Sweden,18,4,5,22,15,12,2,,10.0
797,Poland,Germany,23,8,23,21,13,21,21,,
798,Poland,France,13,23,9,12,4,10,15,1.0,
799,Poland,Australia,2,2,4,3,2,2,4,10.0,7.0
800,Poland,Cyprus,25,24,12,24,23,25,10,,1.0
801,Poland,Serbia,20,16,14,16,14,19,25,,
802,Poland,Lithuania,4,7,19,5,24,9,11,2.0,
803,Poland,Croatia,21,17,20,23,16,23,24,,
804,Poland,Russia,19,3,7,18,17,13,3,,8.0
805,Poland,Spain,12,13,3,19,3,6,12,5.0,
806,Poland,Latvia,7,12,10,4,11,5,6,6.0,5.0
807,Poland,Ukraine,1,1,1,1,1,1,1,12.0,12.0
808,Poland,Malta,16,21,22,13,9,20,23,,
809,Poland,Georgia,15,5,2,11,8,3,13,8.0,
810,Poland,Austria,24,6,25,25,25,24,7,,4.0
811,Poland,United Kingdom,6,25,11,6,19,14,22,,
812,Poland,Armenia,8,15,18,15,5,11,9,,2.0
813,Russia,Belgium,22,23,22,4,13,20,22,,
814,Russia,Czech Republic,18,22,5,13,14,14,23,,
815,Russia,The Netherlands,8,5,24,18,15,12,20,,
816,Russia,Azerbaijan,2,2,3,3,1,2,5,10.0,6.0
817,Russia,Hungary,12,15,12,19,2,10,12,1.0,
818,Russia,Italy,20,8,13,8,12,11,14,,
819,Russia,Israel,23,24,25,24,22,25,17,,
820,Russia,Bulgaria,13,16,15,21,19,21,11,,
821,Russia,Sweden,14,17,7,14,20,15,9,,2.0
822,Russia,Germany,15,13,14,15,21,18,21,,
823,Russia,France,5,9,4,10,6,4,8,7.0,3.0
824,Russia,Poland,10,25,23,25,24,23,6,,5.0
825,Russia,Australia,24,6,10,9,8,9,7,2.0,4.0
826,Russia,Cyprus,4,7,11,12,10,7,4,4.0,7.0
827,Russia,Serbia,19,21,20,20,23,22,16,,
828,Russia,Lithuania,11,3,19,22,16,13,18,,
829,Russia,Croatia,17,18,18,11,11,16,24,,
830,Russia,Spain,16,19,6,17,18,17,15,,
831,Russia,Latvia,7,20,9,5,5,8,10,3.0,1.0
832,Russia,Ukraine,25,14,21,23,25,24,2,,10.0
833,Russia,Malta,1,12,2,2,4,3,19,8.0,
834,Russia,Georgia,9,4,16,7,7,6,13,5.0,
835,Russia,Austria,21,11,17,16,17,19,3,,8.0
836,Russia,United Kingdom,6,10,8,6,9,5,25,6.0,
837,Russia,Armenia,3,1,1,1,3,1,1,12.0,12.0
838,San Marino,Belgium,26,12,8,8,21,16,20,,
839,San Marino,Czech Republic,25,5,2,17,22,14,24,,
840,San Marino,The Netherlands,18,2,3,2,23,7,17,4.0,
841,San Marino,Azerbaijan,23,20,15,18,20,24,12,,
842,San Marino,Hungary,10,15,6,16,19,9,10,2.0,1.0
843,San Marino,Italy,9,1,7,1,17,2,13,10.0,
844,San Marino,Israel,12,14,17,15,24,21,21,,
845,San Marino,Bulgaria,16,24,19,3,16,17,8,,3.0
846,San Marino,Sweden,20,22,20,19,15,25,7,,4.0
847,San Marino,Germany,14,19,21,13,25,23,22,,
848,San Marino,France,8,16,22,5,18,13,14,,
849,San Marino,Poland,21,9,23,21,26,26,4,,7.0
850,San Marino,Australia,5,13,24,12,14,12,6,,5.0
851,San Marino,Cyprus,4,6,12,11,13,6,15,5.0,
852,San Marino,Serbia,15,17,26,14,12,22,25,,
853,San Marino,Lithuania,7,26,14,24,11,20,3,,8.0
854,San Marino,Croatia,19,4,18,23,9,15,26,,
855,San Marino,Russia,2,23,4,4,10,4,2,7.0,10.0
856,San Marino,Spain,6,21,9,22,8,11,19,,
857,San Marino,Latvia,24,25,13,9,7,19,5,,6.0
858,San Marino,Ukraine,3,3,1,6,1,1,1,12.0,12.0
859,San Marino,Malta,22,18,10,7,6,8,23,3.0,
860,San Marino,Georgia,1,8,11,20,4,5,18,6.0,
861,San Marino,Austria,13,10,16,25,2,10,11,1.0,
862,San Marino,United Kingdom,11,11,5,10,5,3,16,8.0,
863,San Marino,Armenia,17,7,25,26,3,18,9,,2.0
864,Serbia,Belgium,23,10,10,12,7,13,6,,5.0
865,Serbia,Czech Republic,17,19,17,23,22,21,24,,
866,Serbia,The Netherlands,10,5,9,13,6,6,18,5.0,
867,Serbia,Azerbaijan,11,16,15,22,21,17,21,,
868,Serbia,Hungary,20,21,18,21,20,22,2,,10.0
869,Serbia,Italy,14,12,11,4,19,12,15,,
870,Serbia,Israel,8,2,2,14,5,4,16,7.0,
871,Serbia,Bulgaria,6,14,4,8,14,7,3,4.0,8.0
872,Serbia,Sweden,22,22,24,20,24,25,10,,1.0
873,Serbia,Germany,24,23,19,15,23,23,23,,
874,Serbia,France,19,18,22,16,13,19,12,,
875,Serbia,Poland,9,15,16,9,10,11,13,,
876,Serbia,Australia,3,6,8,7,8,5,5,6.0,6.0
877,Serbia,Cyprus,12,20,23,19,17,20,8,,3.0
878,Serbia,Lithuania,7,8,7,3,2,3,20,8.0,
879,Serbia,Croatia,15,24,13,24,11,18,7,,4.0
880,Serbia,Russia,13,11,6,11,15,10,1,1.0,12.0
881,Serbia,Spain,4,17,20,10,16,15,14,,
882,Serbia,Latvia,16,13,5,17,12,14,19,,
883,Serbia,Ukraine,1,1,3,1,1,1,4,12.0,7.0
884,Serbia,Malta,2,3,1,2,3,2,22,10.0,
885,Serbia,Georgia,25,9,21,5,18,16,17,,
886,Serbia,Austria,18,25,25,18,25,24,11,,
887,Serbia,United Kingdom,5,4,12,25,9,9,25,2.0,
888,Serbia,Armenia,21,7,14,6,4,8,9,3.0,2.0
889,Slovenia,Belgium,7,3,2,3,10,3,11,8.0,
890,Slovenia,Czech Republic,26,22,16,18,17,22,26,,
891,Slovenia,The Netherlands,18,13,7,12,9,10,16,1.0,
892,Slovenia,Azerbaijan,24,24,22,25,19,25,25,,
893,Slovenia,Hungary,4,4,18,13,11,8,14,3.0,
894,Slovenia,Italy,15,15,26,19,25,23,10,,1.0
895,Slovenia,Israel,19,12,14,5,7,9,20,2.0,
896,Slovenia,Bulgaria,2,2,11,1,6,2,9,10.0,2.0
897,Slovenia,Sweden,21,11,10,10,15,15,6,,5.0
898,Slovenia,Germany,25,26,20,26,18,26,23,,
899,Slovenia,France,5,5,15,17,22,13,12,,
900,Slovenia,Poland,20,25,25,20,2,19,7,,4.0
901,Slovenia,Australia,10,7,4,2,14,5,8,6.0,3.0
902,Slovenia,Cyprus,6,18,23,7,5,11,17,,
