Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry
CIF,Colonial Intermediate High Income Fund,2.67,54711632.16,n/a,n/a,n/a
CXH,Colonial Investment Grade Municipal Trust,9.85,114131526.5,1989,n/a,n/a
CMU,Colonial Municipal Income Trust,4.62,130816468.9,1987,n/a,n/a
CLNS,"Colony NorthStar, Inc.",12.88,7196893908,2014,Consumer Services,Real Estate Investment Trusts
CLNS^A,"Colony NorthStar, Inc.",25.51,0,n/a,n/a,n/a
CLNS^B,"Colony NorthStar, Inc.",25.35,0,n/a,n/a,n/a
CLNS^C,"Colony NorthStar, Inc.",25.84,0,n/a,n/a,n/a
CLNS^D,"Colony NorthStar, Inc.",25.9,0,n/a,n/a,n/a
CLNS^E,"Colony NorthStar, Inc.",26.3575,0,n/a,n/a,n/a
CLNS^F,"Colony NorthStar, Inc.",25.2,0,n/a,n/a,n/a
CLNS^G,"Colony NorthStar, Inc.",25.1,0,n/a,n/a,n/a
CLNS^H,"Colony NorthStar, Inc.",25.05,0,n/a,n/a,n/a
SFR,Colony Starwood Homes,34.28,3876317782,2014,Consumer Services,Real Estate Investment Trusts
CXP,"Columbia Property Trust, Inc.",22.68,2777178837,2013,Consumer Services,Real Estate Investment Trusts
STK,"Columbia Seligman Premium Technology Growth Fund, Inc",20.92,321522199.6,2009,n/a,n/a
CCV,Comcast Corporation,26.06,0,2012,Consumer Services,Television Services
CCZ,Comcast Corporation,51.73,0,n/a,Consumer Services,Television Services
CMA,Comerica Incorporated,65.21,11497749470,n/a,Finance,Major Banks
CMA.WS,Comerica Incorporated,n/a,0,n/a,n/a,n/a
FIX,"Comfort Systems USA, Inc.",34.95,1301707123,1997,Capital Goods,Engineering & Construction
CMC,Commercial Metals Company,17.67,2045810901,n/a,Basic Industries,Steel/Iron Ore
CBU,"Community Bank System, Inc.",51.66,2372129821,n/a,Finance,Major Banks
CYH,"Community Health Systems, Inc.",9.1,1043644092,2000,Health Care,Hospital/Nursing Management
CHCT,Community Healthcare Trust Incorporated,24.5,321078698.5,2015,Consumer Services,Real Estate Investment Trusts
CIG,Comp En De Mn Cemig ADS,2.8,3524756631,n/a,Public Utilities,Electric Utilities: Central
CIG.C,Comp En De Mn Cemig ADS,n/a,0,n/a,n/a,n/a
CBD,Companhia Brasileira de Distribuicao,18.43,4904668361,1997,Consumer Services,Food Chains
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,10.12,6917119874,2002,Public Utilities,Water Supply
ELP,Companhia Paranaense de Energia (COPEL),9.39,2569623971,n/a,Public Utilities,Electric Utilities: Central
CCU,"Compania Cervecerias Unidas, S.A.",26.49,4894065540,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
CODI,Compass Diversified Holdings,16.85,1009315000,2006,Consumer Durables,Home Furnishings
CRH,CRH PLC,33.61,27976356331,n/a,Capital Goods,Building Materials
CMP,"Compass Minerals International, Inc.",67.95,2296493715,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CRK,"Comstock Resources, Inc.",9.31,142289766.7,n/a,Energy,Oil & Gas Production
CAG,"ConAgra Brands, Inc.",40.32,17156223948,n/a,Consumer Non-Durables,Packaged Foods
CXO,Concho Resources Inc.,130.14,19282966652,2007,Energy,Oil & Gas Production
CCM,Concord Medical Services Holdings Limited,4.66,206584324,2009,Health Care,Medical/Nursing Services
CNDT,Conduent Incorporated,15.78,3213282063,2016,Miscellaneous,Business Services
CNNX,Cone Midstream Partners LP,21.01,1334780028,2014,Public Utilities,Natural Gas Distribution
COP,ConocoPhillips,48.62,60145398179,n/a,Energy,Integrated oil Companies
CNX,CONSOL Energy Inc.,15.87,3650408973,1999,Energy,Coal Mining
ED,Consolidated Edison Inc,78.53,23973207820,n/a,Public Utilities,Power Generation
STZ,Constellation Brands Inc,168.95,33124282091,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
STZ.B,Constellation Brands Inc,n/a,0,n/a,n/a,n/a
CSTM,Constellium N.V.,5.55,585978285.2,2013,Basic Industries,Metal Fabrications
TCS,Container Store (The),4.03,195842653.8,2013,Consumer Services,Home Furnishings
CBPX,"Continental Building Products, Inc.",23.9,946122153.9,2014,Capital Goods,Building Materials
CLR,"Continental Resources, Inc.",44.97,16880880827,2007,Energy,Oil & Gas Production
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",14.05,1421686721,2013,Transportation,Air Freight/Delivery Services
CVG,Convergys Corporation,21.24,2008540634,1998,Technology,EDP Services
COO,"Cooper Companies, Inc. (The)",196.29,9605683361,n/a,Health Care,Ophthalmic Goods
CTB,Cooper Tire & Rubber Company,43.05,2277810930,n/a,Consumer Durables,Automotive Aftermarket
CPS,Cooper-Standard Holdings Inc.,102.55,1828163157,n/a,Capital Goods,Auto Parts:O.E.M.
CPA,"Copa Holdings, S.A.",114.57,4817603768,2005,Transportation,Air Freight/Delivery Services
CLB,Core Laboratories N.V.,114.53,5059063712,1995,Energy,Oilfield Services/Equipment
CXW,"CoreCivic, Inc.",33.18,3916292536,n/a,Consumer Services,Real Estate Investment Trusts
CLGX,"CoreLogic, Inc.",40.51,3423905484,n/a,Technology,EDP Services
CORR,"CorEnergy Infrastructure Trust, Inc.",34.66,412216440.4,n/a,Consumer Services,Real Estate Investment Trusts
CORR^A,"CorEnergy Infrastructure Trust, Inc.",24.72,0,n/a,n/a,n/a
COR,CoreSite Realty Corporation,91.66,3134017455,2010,Consumer Services,Real Estate Investment Trusts
COR^A,CoreSite Realty Corporation,25.65,0,n/a,n/a,n/a
GLW,Corning Incorporated,26.32,24399842613,n/a,Basic Industries,Telecommunications Equipment
GYC,Corporate Asset Backed Corp CABCO,23.59,0,n/a,Finance,Finance: Consumer Services
OFC,Corporate Office Properties Trust,34.07,3367804271,n/a,Consumer Services,Real Estate Investment Trusts
OFC^L,Corporate Office Properties Trust,25.2826,0,n/a,n/a,n/a
CZZ,Cosan Limited,8.17,2162524514,n/a,Consumer Non-Durables,Specialty Foods
CMRE,Costamare Inc.,6.89,630017679.6,2010,Transportation,Marine Transportation
CMRE^B,Costamare Inc.,22.61,0,n/a,n/a,n/a
CMRE^C,Costamare Inc.,23.2947,0,n/a,n/a,n/a
CMRE^D,Costamare Inc.,23.64,0,n/a,n/a,n/a
COTV,"Cotiviti Holdings, Inc.",41.07,3732064783,2016,Miscellaneous,Business Services
COT,Cott Corporation,12.65,1756949809,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
COTY,Coty Inc.,17.89,13365936476,2013,Consumer Non-Durables,Package Goods/Cosmetics
CFC^B,Countrywide Financial Corporation,26.08,0,n/a,n/a,n/a
CUZ,Cousins Properties Incorporated,8.37,3504088104,n/a,Consumer Services,Real Estate Investment Trusts
CVA,Covanta Holding Corporation,15.35,2013741449,n/a,Basic Industries,Electric Utilities: Central
CPF,CPB Inc.,28.76,885893072.1,n/a,Finance,Major Banks
CPL,CPFL Energia S.A.,16.27,8280736459,2004,Public Utilities,Electric Utilities: Central
CR,Crane Company,73.25,4354772199,n/a,Capital Goods,Metal Fabrications
CRD.A,Crawford & Company,n/a,0,n/a,n/a,n/a
CRD.B,Crawford & Company,n/a,0,n/a,n/a,n/a
BAP,Credicorp Ltd.,152.86,14427280977,n/a,Finance,Commercial Banks
CS,Credit Suisse Group,14.13,29530249951,n/a,Finance,Investment Bankers/Brokers/Service
CPG,Crescent Point Energy Corporation,10.7,5827645946,n/a,Energy,Oil & Gas Production
CEQP,Crestwood Equity Partners LP,26.05,1816028730,n/a,Consumer Services,Other Consumer Services
CRT,Cross Timbers Royalty Trust,16.26,97560000,1992,Energy,Oil & Gas Production
CAPL,CrossAmerica Partners LP,25.72,862261765.4,2012,Energy,Oil Refining/Marketing
CCI,Crown Castle International Corporation,96,34690084128,n/a,Consumer Services,Real Estate Investment Trusts
CCK,"Crown Holdings, Inc.",53.34,7420907071,n/a,Consumer Durables,Containers/Packaging
CRY,"CryoLife, Inc.",14.8,491886983.6,n/a,Health Care,Medical/Dental Instruments
CSRA,CSRA Inc.,27.68,4514890530,2015,Technology,EDP Services
CSS,"CSS Industries, Inc.",25.41,230894698.7,n/a,Consumer Services,Consumer: Greeting Cards
CST,"CST Brands, Inc.",48.23,3655193891,n/a,Consumer Durables,Automotive Aftermarket
CTS,CTS Corporation,19.4,637281250.6,n/a,Technology,Electrical Products
CUBE,CubeSmart,27.06,4875507953,n/a,Consumer Services,Real Estate Investment Trusts
CUB,Cubic Corporation,48.8,1322627181,n/a,Capital Goods,Industrial Machinery/Components
CFR,"Cullen/Frost Bankers, Inc.",85.9,5487170366,n/a,Finance,Major Banks
CFR^A,"Cullen/Frost Bankers, Inc.",25.42,0,n/a,n/a,n/a
CFI,"Culp, Inc.",30.95,381141698.2,n/a,Basic Industries,Textiles
CMI,Cummins Inc.,144.57,24283605636,n/a,Energy,Industrial Machinery/Components
CW,Curtiss-Wright Corporation,87.72,3886708988,n/a,Technology,Industrial Machinery/Components
SRF,Cushing Energy Income Fund (The),9.442,23368846.14,2012,n/a,n/a
SZC,Cushing Renaissance Fund (The),18.18,110065137.8,2012,n/a,n/a
CUBI,"Customers Bancorp, Inc",29.43,896732011.7,n/a,Finance,Major Banks
CUBI^C,"Customers Bancorp, Inc",27.07,0,n/a,n/a,n/a
CUBI^D,"Customers Bancorp, Inc",26.78,0,n/a,n/a,n/a
CUBI^E,"Customers Bancorp, Inc",26.6,0,n/a,n/a,n/a
CUBI^F,"Customers Bancorp, Inc",25.8552,0,n/a,n/a,n/a
CUBS,"Customers Bancorp, Inc",26.2,0,n/a,Finance,Major Banks
CVI,CVR Energy Inc.,17.67,1534304654,2007,Energy,Integrated oil Companies
UAN,"CVR Partners, LP",4.72,534695632.6,2011,Basic Industries,Agricultural Chemicals
CVRR,"CVR Refining, LP",9,1328400000,2013,Energy,Integrated oil Companies
CVS,CVS Health Corporation,77.96,80750279613,n/a,Health Care,Medical/Nursing Services
CELP,"Cypress Energy Partners, L.P.",9.18,108959210.1,2014,Energy,Oilfield Services/Equipment
CYS,"CYS Investments, Inc.",8.12,1231867271,2009,Consumer Services,Real Estate Investment Trusts
CYS^A,"CYS Investments, Inc.",24.5,0,n/a,n/a,n/a
CYS^B,"CYS Investments, Inc.",23.76,0,n/a,n/a,n/a
DHI,"D.R. Horton, Inc.",33.69,12580301489,n/a,Capital Goods,Homebuilding
CB,D/B/A Chubb Limited New,136.72,63890265540,n/a,Finance,Property-Casualty Insurers
DAN,Dana Incorporated,17.57,2531791634,n/a,Capital Goods,Auto Parts:O.E.M.
DHR,Danaher Corporation,85.78,59532788639,n/a,Capital Goods,Industrial Machinery/Components
DAC,Danaos Corporation,1.8,197638833.6,2006,Transportation,Marine Transportation
DQ,DAQO New Energy Corp.,18.76,197337171.6,2010,Technology,Semiconductors
DRI,"Darden Restaurants, Inc.",81.97,10192039878,n/a,Consumer Services,Restaurants
DAR,Darling Ingredients Inc.,14.79,2435201497,n/a,Consumer Non-Durables,Packaged Foods
DVA,DaVita Inc.,67.78,13189988000,n/a,Health Care,Hospital/Nursing Management
DCP,DCP Midstream LP,37.8,5416827998,n/a,Public Utilities,Natural Gas Distribution
DCT,DCT Industrial Trust Inc,50.61,4652269034,2006,Consumer Services,Real Estate Investment Trusts
DDR,DDR Corp.,12.65,4637576830,1993,Consumer Services,Real Estate Investment Trusts
DDR^J,DDR Corp.,25.21,0,n/a,n/a,n/a
DDR^K,DDR Corp.,25.415,0,n/a,n/a,n/a
DF,Dean Foods Company,19.52,1773631003,n/a,Consumer Non-Durables,Packaged Foods
DECK,Deckers Outdoor Corporation,56.04,1789771336,1993,Consumer Non-Durables,Shoe Manufacturing
DE,Deere & Company,108,34374580632,n/a,Capital Goods,Industrial Machinery/Components
DEX,Delaware Enhanced Global Dividend,10.87,172291554.4,2007,n/a,n/a
DDF,"Delaware Investments Dividend & Income Fund, Inc.",10.3216,83530634.16,1993,n/a,n/a
DKL,"Delek Logistics Partners, L.P.",31.4,763918259.8,2012,Energy,Natural Gas Distribution
DK,"Delek US Holdings, Inc.",22.32,1384367489,2006,Energy,Integrated oil Companies
DVMT,Dell Technologies Inc.,63.92,13277330597,n/a,Technology,Computer Manufacturing
DLPH,Delphi Automotive plc,73.75,19859939703,2011,Capital Goods,Auto Parts:O.E.M.
EPR^F,EPR Properties,25.7357,0,n/a,n/a,n/a
DAL,"Delta Air Lines, Inc.",44.03,32175831191,n/a,Transportation,Air Freight/Delivery Services
DEL,Deltic Timber Corporation,75.25,916836894.8,n/a,Basic Industries,Forest Products
DLX,Deluxe Corporation,67.94,3294453198,n/a,Consumer Durables,Publishing
DNR,Denbury Resources Inc.,2.32,923698928.8,n/a,Energy,Oil & Gas Production
DKT,Deutsch Bk Contingent Cap Tr V,26.62,0,n/a,Finance,Major Banks
DB,Deutsche Bank AG,15.86,32774138199,n/a,Finance,Major Banks
DTK,Deutsche Bank AG,26.07,0,n/a,Finance,Major Banks
DXB,Deutsche Bank AG,25.08,0,n/a,Finance,Major Banks
DVN,Devon Energy Corporation,40.65,21324990000,n/a,Energy,Oil & Gas Production
DV,DeVry Education Group Inc.,34.25,2153811250,n/a,Consumer Services,Other Consumer Services
DHX,"DHI Group, Inc.",4.1,206652714.1,2007,Miscellaneous,Business Services
DHT,"DHT Holdings, Inc.",4.5,425803063.5,2005,Transportation,Marine Transportation
DEO,Diageo plc,115.61,72738253177,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
DO,"Diamond Offshore Drilling, Inc.",15.23,2089260797,1995,Energy,Oil & Gas Production
DRH,Diamondrock Hospitality Company,11.04,2217798210,2005,Consumer Services,Real Estate Investment Trusts
DSX,Diana Shipping inc.,5.49,464981133.3,2005,Transportation,Marine Transportation
DSX^B,Diana Shipping inc.,21.47,0,n/a,n/a,n/a
DSXN,Diana Shipping inc.,25.1812,0,2015,Transportation,Marine Transportation
DKS,Dick&#39;s Sporting Goods Inc,49.66,5601476077,2002,Consumer Services,Other Specialty Stores
DBD,Diebold Nixdorf Incorporated,28,2112400836,n/a,Miscellaneous,Office Equipment/Supplies/Services
DLR,"Digital Realty Trust, Inc.",109.61,17478214288,2004,Consumer Services,Real Estate Investment Trusts
DLR^G,"Digital Realty Trust, Inc.",25.5,0,n/a,n/a,n/a
DLR^H,"Digital Realty Trust, Inc.",27.5,0,n/a,n/a,n/a
DLR^I,"Digital Realty Trust, Inc.",27.06,0,n/a,n/a,n/a
DGI,"DigitalGlobe, Inc",32.75,2022490562,2009,Consumer Services,Telecommunications Equipment
DDS,"Dillard&#39;s, Inc.",52.19,1631659236,n/a,Consumer Services,Department/Specialty Retail Stores
DDT,"Dillard&#39;s, Inc.",25.688,0,n/a,Consumer Services,Department/Specialty Retail Stores
DIN,"DineEquity, Inc",54.59,981911476.4,n/a,Consumer Services,Restaurants
DPLO,"Diplomat Pharmacy, Inc.",14.72,986057781.1,2014,Health Care,Medical/Nursing Services
DFS,Discover Financial Services,64.77,24865231175,n/a,Finance,Finance: Consumer Services
DFS^B,Discover Financial Services,26.02,0,n/a,n/a,n/a
DRA,Diversified Real Asset Income Fund,17.35,309444103.3,n/a,n/a,n/a
DNI,Dividend and Income Fund,11.86,126299168.1,n/a,n/a,n/a
DLB,Dolby Laboratories,50.95,5193877799,2005,Miscellaneous,Multi-Sector Companies
DG,Dollar General Corporation,68.74,18910050510,2009,Consumer Services,Department/Specialty Retail Stores
DDC,Dominion Diamond Corporation,12.56,1036873857,n/a,Basic Industries,Precious Metals
DM,"Dominion Midstream Partners, LP",31.85,3160308001,2014,Public Utilities,Natural Gas Distribution
D,"Dominion Resources, Inc.",77.53,48728105069,n/a,Public Utilities,Electric Utilities: Central
DCUC,"Dominion Resources, Inc.",50.25,31582449113,n/a,Public Utilities,Electric Utilities: Central
DCUD,"Dominion Resources, Inc.",50.68,0,2016,Public Utilities,Electric Utilities: Central
DRUA,"Dominion Resources, Inc.",24.68,0,2016,Public Utilities,Electric Utilities: Central
DPZ,Domino&#39;s Pizza Inc,174.04,8360115302,2004,Consumer Non-Durables,Food Distributors
UFS,Domtar Corporation,36.72,2386840539,n/a,Basic Industries,Paper
DCI,"Donaldson Company, Inc.",44.06,5820494706,n/a,Capital Goods,Pollution Control Equipment
DFIN,"Donnelley Financial Solutions, Inc.",19.42,636622614.3,2016,Consumer Services,Other Consumer Services
LPG,Dorian LPG Ltd.,9.7,533183120.4,2014,Transportation,Marine Transportation
DSL,DoubleLine Income Solutions Fund,20.63,2090847240,2013,n/a,n/a
DBL,DoubleLine Opportunistic Credit Fund,24.32,361195800.3,2012,n/a,n/a
PLOW,"Douglas Dynamics, Inc.",30.75,694670082.8,2010,Capital Goods,Construction/Ag Equipment/Trucks
DEI,"Douglas Emmett, Inc.",38.95,5963018973,2006,Consumer Services,Real Estate Investment Trusts
DOV,Dover Corporation,78.52,12217173981,n/a,Technology,Industrial Machinery/Components
DDE,Dover Downs Gaming & Entertainment Inc,1.04,34478737.28,n/a,Consumer Services,Services-Misc. Amusement & Recreation
DVD,"Dover Motorsports, Inc.",2.1,77471427.6,1996,Consumer Services,Services-Misc. Amusement & Recreation
DOW,Dow Chemical Company (The),61.06,74436551402,n/a,Basic Industries,Major Chemicals
DPS,"Dr Pepper Snapple Group, Inc",97.21,17866716422,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
RDY,Dr. Reddy&#39;s Laboratories Ltd,40.47,6706956918,n/a,Health Care,Major Pharmaceuticals
DRD,DRDGOLD Limited,4.93,212694871.7,n/a,Basic Industries,Precious Metals
DHF,Dreyfus High Yield Strategies Fund,3.43,249387369.8,1998,n/a,n/a
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",13,238965753,2013,n/a,n/a
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",8.43,414358415.9,1989,n/a,n/a
LEO,"Dreyfus Strategic Municipals, Inc.",8.77,543466814.5,1987,n/a,n/a
DRQ,"Dril-Quip, Inc.",53.2,1996463372,1997,Energy,Metal Fabrications
DS,Drive Shack Inc.,4.02,268706359.6,n/a,Consumer Services,Real Estate Investment Trusts
DS^B,Drive Shack Inc.,25.35,0,n/a,n/a,n/a
DS^C,Drive Shack Inc.,24.95,0,n/a,n/a,n/a
DS^D,Drive Shack Inc.,24.91,0,n/a,n/a,n/a
DST,"DST Systems, Inc.",120.97,3806431133,1995,Technology,EDP Services
DSW,DSW Inc.,19.58,1570194134,2005,Consumer Services,Clothing/Shoe/Accessory Stores
DTE,DTE Energy Company,103.51,18568481691,n/a,Public Utilities,Electric Utilities: Central
DTJ,DTE Energy Company,24.64,0,2016,Public Utilities,Electric Utilities: Central
DTQ,DTE Energy Company,24.8781,0,n/a,Public Utilities,Electric Utilities: Central
DTV,DTE Energy Company,53.8,0,2016,Public Utilities,Electric Utilities: Central
DTY,DTE Energy Company,26.23,0,2016,Public Utilities,Electric Utilities: Central
DCO,Ducommun Incorporated,28.49,319106774.9,n/a,Capital Goods,Military/Government/Technical
DPG,Duff & Phelps Global Utility Income Fund Inc.,16.71,633807058.3,2011,n/a,n/a
DSE,Duff & Phelps Select Energy MLP Fund Inc.,7.75,202090247.8,2014,n/a,n/a
DNP,"Duff & Phelps Utilities Income, Inc.",10.88,3086167151,1987,n/a,n/a
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",15.06,128296290.6,1991,n/a,n/a
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.31,255975498.7,1993,n/a,n/a
DUK,Duke Energy Corporation,82.59,57803357039,n/a,Public Utilities,Power Generation
DUKH,Duke Energy Corporation,25.9,0,n/a,Public Utilities,Power Generation
DRE,Duke Realty Corporation,27.74,9863234511,n/a,Consumer Services,Real Estate Investment Trusts
DNB,Dun & Bradstreet Corporation (The),105.01,3874595764,n/a,Finance,Finance: Consumer Services
DFT,"Dupont Fabros Technology, Inc.",50.66,3926049237,2007,Finance,Real Estate
DFT^C,"Dupont Fabros Technology, Inc.",26.6655,0,n/a,n/a,n/a
DHG,"DWS High Income Opportunities Fund, Inc.",14.65,222407070.5,2006,n/a,n/a
DXC,DXC Technology Company,76.51,10804604941,n/a,Technology,EDP Services
DY,"Dycom Industries, Inc.",96.14,3020908388,n/a,Basic Industries,Water Supply
DLNG,Dynagas LNG Partners LP,17.57,623559300,n/a,Consumer Services,Marine Transportation
DLNG^A,Dynagas LNG Partners LP,25.9,0,n/a,n/a,n/a
DYN,Dynegy Inc.,7.19,944188556.7,n/a,Public Utilities,Electric Utilities: Central
DYN.WS,Dynegy Inc.,n/a,0,n/a,n/a,n/a
DYN.WS.A,Dynegy Inc.,n/a,0,n/a,n/a,n/a
DYN^A,Dynegy Inc.,25.47,0,n/a,n/a,n/a
DYNC,Dynegy Inc.,55.54,0,2016,Public Utilities,Electric Utilities: Central
DX,"Dynex Capital, Inc.",6.96,342447193.7,n/a,Consumer Services,Real Estate Investment Trusts
DX^A,"Dynex Capital, Inc.",25.2656,0,n/a,n/a,n/a
DX^B,"Dynex Capital, Inc.",23.83,0,n/a,n/a,n/a
DD,E.I. du Pont de Nemours and Company,77.44,66952610560,n/a,Basic Industries,Major Chemicals
DD^A,E.I. du Pont de Nemours and Company,89.9,0,n/a,Basic Industries,Major Chemicals
DD^B,E.I. du Pont de Nemours and Company,104.3188,0,n/a,Basic Industries,Major Chemicals
ELF,"e.l.f. Beauty, Inc.",27.58,1259190742,2016,Consumer Non-Durables,Package Goods/Cosmetics
SSP,E.W. Scripps Company (The),22.49,1848465649,n/a,Consumer Services,Broadcasting
EGIF,Eagle Growth and Income Opportunities Fund,17.02,122218492.5,2015,n/a,n/a
EXP,Eagle Materials Inc,93.13,4508456641,n/a,Capital Goods,Building Materials
ECC           ,Eagle Point Credit Company Inc.,20.59,339217758.6,2014,n/a,n/a
ECCA,Eagle Point Credit Company Inc.,25.93,0,2015,n/a,n/a
ECCB,Eagle Point Credit Company Inc.,25.9,0,2016,n/a,n/a
ECCZ,Eagle Point Credit Company Inc.,25.72,0,2015,n/a,n/a
DEA,"Easterly Government Properties, Inc.",20.85,771271315.5,2015,Consumer Services,Real Estate Investment Trusts
EGP,"EastGroup Properties, Inc.",77.33,2621218046,n/a,Consumer Services,Real Estate Investment Trusts
EMN,Eastman Chemical Company,77.93,11364132665,n/a,Basic Industries,Major Chemicals
KODK,Eastman Kodak Company,9.75,413898186,n/a,Miscellaneous,Industrial Machinery/Components
KODK.WS,Eastman Kodak Company,n/a,0,n/a,n/a,n/a
KODK.WS.A,Eastman Kodak Company,n/a,0,n/a,n/a,n/a
ETN,"Eaton Corporation, PLC",73.51,32973394269,n/a,Technology,Industrial Machinery/Components
ETV,Eaton Vance Corporation,15.35,981869642.2,2005,n/a,n/a
ETW,Eaton Vance Corporation,11.06,1177256649,2005,n/a,n/a
EV,Eaton Vance Corporation,42.42,4887362609,n/a,Finance,Investment Managers
EOI,Eaton Vance Enhance Equity Income Fund,13.15,515125594.4,2004,n/a,n/a
EOS,Eaton Vance Enhanced Equity Income Fund II,13.67,651445531.4,2005,n/a,n/a
EFT,Eaton Vance Floating Rate Income Trust,15.06,600347171.4,2004,n/a,n/a
EFF,Eaton vance Floating-Rate Income Plus Fund,16.97,129080981.3,2013,n/a,n/a
EHT,Eaton Vance High Income 2021 Target Term Trust,10.06,191140000,2016,n/a,n/a
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,20.3,219900643.2,2013,n/a,n/a
EOT,Eaton Vance Municipal Income Trust,21.93,333606462.7,2009,n/a,n/a
EVN,Eaton Vance Municipal Income Trust,13.04,310121765.8,1999,n/a,n/a
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,9.17,583827114.4,2007,n/a,n/a
EFR,Eaton Vance Senior Floating-Rate Fund,14.85,547096794.8,2003,n/a,n/a
EVF,Eaton Vance Senior Income Trust,6.71,254084933,1998,n/a,n/a
EVG,Eaton Vance Short Diversified Income Fund,14.01,250507150,2005,n/a,n/a
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,21.45,1562330055,2003,n/a,n/a
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,23.02,334355187,2004,n/a,n/a
EXD,Eaton Vance Tax-Advantaged Bond,11.26,109577658.4,2010,n/a,n/a
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,15.76,1202491373,2004,n/a,n/a
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,16.35,404019814.2,2005,n/a,n/a
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,11.15,1666303053,2006,n/a,n/a
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,8.73,2631728427,2007,n/a,n/a
ECT,ECA Marcellus Trust I,2.15,37850750,2010,Energy,Oil & Gas Production
ECR,Eclipse Resources Corporation,2.28,597907149.8,2014,Energy,Oil & Gas Production
ECL,Ecolab Inc.,124.47,36103436239,n/a,Basic Industries,Package Goods/Cosmetics
EC,Ecopetrol S.A.,9.28,19078146332,n/a,Energy,Oil & Gas Production
EIX,Edison International,80.31,26165069235,n/a,Public Utilities,Electric Utilities: Central
EDR,Education Realty Trust Inc.,39.74,2908064273,2005,Consumer Services,Real Estate Investment Trusts
EW,Edwards Lifesciences Corporation,94.3,19914835839,n/a,Health Care,Industrial Specialties
EHIC,eHi Car Services Limited,9.95,690503692.2,2014,Consumer Services,Rental/Leasing Companies
EP^C,El Paso Corporation,50.2353,0,n/a,Public Utilities,Natural Gas Distribution
EE,El Paso Electric Company,51.1,2072497397,n/a,Public Utilities,Electric Utilities: Central
EGO,Eldorado Gold Corporation,3.69,2644206524,n/a,Basic Industries,Precious Metals
ELVT,"Elevate Credit, Inc.",7.59,299803064.6,2017,n/a,n/a
LLY,Eli Lilly and Company,85.88,94756072179,n/a,Health Care,Major Pharmaceuticals
ELLI,"Ellie Mae, Inc.",103.39,3521795902,2011,Technology,Computer Software: Prepackaged Software
EFC,Ellington Financial LLC,15.99,514788120.2,2010,Finance,Real Estate
EARN,Ellington Residential Mortgage REIT,14.7,134224185.9,2013,Consumer Services,Real Estate Investment Trusts
AKO.A,Embotelladora Andina S.A.,n/a,0,n/a,n/a,n/a
AKO.B,Embotelladora Andina S.A.,n/a,0,n/a,n/a,n/a
ERJ,Embraer-Empresa Brasileira de Aeronautica,20.01,3674631017,2000,Capital Goods,Aerospace
EME,"EMCOR Group, Inc.",60.39,3602891798,n/a,Capital Goods,Engineering & Construction
EMES,Emerge Energy Services LP,13.63,409880937.5,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
EBS,"Emergent Biosolutions, Inc.",29.16,1186451553,2006,Health Care,Major Pharmaceuticals
EMR,Emerson Electric Company,57.87,37329892742,n/a,Energy,Consumer Electronics/Appliances
ESRT,"Empire State Realty Trust, Inc.",21.32,6611001369,2013,Consumer Services,Real Estate Investment Trusts
EIG,Employers Holdings Inc,36.85,1184565065,2007,Finance,Property-Casualty Insurers
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),35.33,1601252934,2007,Public Utilities,Electric Utilities: Central
ENBL,"Enable Midstream Partners, LP",16.27,7034959089,2014,Public Utilities,Natural Gas Distribution
EEQ,Enbridge Energy Management LLC,17.62,1479794750,2002,Energy,Oil & Gas Production
EEP,"Enbridge Energy, L.P.",17.99,7845566207,n/a,Energy,Natural Gas Distribution
ENB,Enbridge Inc,42.26,69085365282,n/a,Energy,Natural Gas Distribution
ECA,Encana Corporation,11.6,11286452812,n/a,Energy,Oil & Gas Production
EXK,Endeavour Silver Corporation,3.32,421906476.5,n/a,Basic Industries,Precious Metals
ENH^C,Endurance Specialty Holdings Ltd,26.24,0,n/a,n/a,n/a
NDRO,Enduro Royalty Trust,3.4,112200000,2011,Energy,Oil & Gas Production
